month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
116,27883.367491140696,1450.7733151331986,1450.7733151331986,100,155725.02476874943,11600,0,22669.660471526455,5213.707019614242,0.0,0.0,8517
117,26091.03900535641,1453.1693852137973,1453.1693852137973,100,157178.1941539632,11700,0,20959.822144244896,5131.216861111518,0.0,0.0,8517
118,26955.6165751546,1455.5694125989394,1455.5694125989394,100,158633.76356656215,11800,0,21975.11435952225,4980.502215632351,0.0,0.0,8517
119,24322.292893137936,1457.9734038244349,1457.9734038244349,100,160091.73697038658,11900,0,19558.608217531626,4763.68467560631,0.0,0.0,8517
120,24601.21982654059,1460.3813654368882,1460.3813654368882,100,161552.11833582347,12000,0,20000.093823775747,4601.126002764844,0.0,0.0,8517
1,97525.70054550984,1200.0,1200.0,100,1200.0,100,0,57819.55784682932,39706.14269868052,0.0,0.0,9098
2,95672.67405789864,1201.9818975623043,1201.9818975623043,100,2401.9818975623043,200,0,56056.02257841614,39616.6514794825,0.0,0.0,9098
3,93170.97669586705,1203.9670683895647,1203.9670683895647,100,3605.948965951869,300,0,55495.15402414446,37675.8226717226,0.0,0.0,9098
4,90073.28568737884,1205.9555178878445,1205.9555178878445,100,4811.904483839713,400,0,52211.11597829595,37862.1697090829,0.0,0.0,9098
5,88205.5668841535,1207.9472514721356,1207.9472514721356,100,6019.851735311849,500,0,50115.16754234101,38090.39934181249,0.0,0.0,9098
6,89287.22724363967,2421.882867169822,1209.9422745663728,100,8441.73460248167,600,0,52037.77507148994,37249.45217214973,0.0,0.0,9098
7,89117.7712119518,1211.9405926034494,1211.9405926034494,100,9653.67519508512,700,0,53920.76641875054,35197.00479320126,0.0,0.0,9098
8,89404.63098929569,1213.9422110252315,1213.9422110252315,100,10867.61740611035,800,0,53335.3359000137,36069.295089282,0.0,0.0,9098
9,85645.20799627273,1215.9471352825724,1215.9471352825724,100,12083.564541392923,900,0,50078.0757259466,35567.13227032612,0.0,0.0,9098
10,85268.77323386916,1217.9553708353285,1217.9553708353285,100,13301.519912228252,1000,0,49781.05615802042,35487.71707584875,0.0,0.0,9098
11,86318.69227165302,1219.9669231523735,1219.9669231523735,100,14521.486835380625,1100,0,50888.30493937231,35430.38733228071,0.0,0.0,9098
12,79985.96085852788,2445.981797711613,1221.9817977116131,100,16967.468633092238,1200,0,46633.76977076476,33352.19108776313,0.0,0.0,9098
13,81512.89456597102,1224.0000000000005,1224.0000000000005,100,18191.468633092238,1300,0,48444.02977898392,33068.8647869871,0.0,0.0,9098
14,78920.05328579192,1226.0215355135508,1226.0215355135508,100,19417.49016860579,1400,0,46097.8166825304,32822.23660326151,0.0,0.0,9098
15,76124.48488667641,1228.0464097573565,1228.0464097573565,100,20645.536578363146,1500,0,44094.523775100824,32029.961111575576,0.0,0.0,9098
16,75692.49186760219,1230.074628245602,1230.074628245602,100,21875.611206608748,1600,0,44391.51852052028,31300.973347081916,0.0,0.0,9098
17,74567.47888719881,1232.106196501579,1232.106196501579,100,23107.717403110328,1700,0,43244.184565738586,31323.294321460235,0.0,0.0,9098
18,74858.14081602637,1234.141120057701,1234.141120057701,100,24341.85852316803,1800,0,44157.294839743685,30700.845976282686,0.0,0.0,9098
19,73103.47964372467,1236.1794044555193,1236.1794044555193,100,25578.03792762355,1900,0,42661.527583201205,30441.95206052345,0.0,0.0,9098
20,72161.0592048423,1238.2210552457368,1238.2210552457368,100,26816.258982869287,2000,0,42461.93023271193,29699.128972130373,0.0,0.0,9098
21,71177.71976567194,1240.2660779882247,1240.2660779882247,100,28056.52506085751,2100,0,42285.81615926536,28891.903606406584,0.0,0.0,9098
22,70208.59656861202,1242.314478252036,1242.314478252036,100,29298.839539109547,2200,0,41495.17730724321,28713.41926136881,0.0,0.0,9098
23,69681.9475840719,1244.3662616154218,1244.3662616154218,100,30543.20580072497,2300,0,40178.26637765001,29503.681206421887,0.0,0.0,9098
24,69023.18129466606,1246.421433665846,1246.421433665846,100,31789.627234390813,2400,0,40095.422933077134,28927.75836158893,0.0,0.0,9098
25,65462.85406779739,1248.4800000000012,1248.4800000000012,100,33038.107234390816,2500,0,38693.615481625224,26769.238586172167,0.0,0.0,9098
26,60922.96145094715,1250.5419662238226,1250.5419662238226,100,34288.649200614636,2600,0,34381.358025072135,26541.60342587501,0.0,0.0,9098
27,62584.26667448628,1252.6073379525044,1252.6073379525044,100,35541.25653856714,2700,0,36799.798777019016,25784.467897467268,0.0,0.0,9098
28,60977.94037020894,1254.676120810515,1254.676120810515,100,36795.93265937766,2800,0,35651.339662566614,25326.60070764233,0.0,0.0,9098
29,57555.161854625956,1256.7483204316113,1256.7483204316113,100,38052.680979809265,2900,0,32762.17591648237,24792.98593814359,0.0,0.0,9098
30,57275.98695894722,1258.8239424588558,1258.8239424588558,100,39311.50492226812,3000,0,33001.66613074367,24274.320828203545,0.0,0.0,9098
31,58584.05287246331,1260.9029925446303,1260.9029925446303,100,40572.40791481275,3100,0,35061.38449661093,23522.668375852383,0.0,0.0,9098
32,58777.817395489365,1262.985476350652,1262.985476350652,100,41835.3933911634,3200,0,36231.86739142181,22545.950004067563,0.0,0.0,9098
33,58971.82236287824,1265.0713995479896,1265.0713995479896,100,43100.46479071139,3300,0,37041.030194574036,21930.79216830421,0.0,0.0,9098
34,58257.794240947616,1267.1607678170772,1267.1607678170772,100,44367.62555852847,3400,0,37407.52938576938,20850.264855178237,0.0,0.0,9098
35,57844.64315859713,1269.2535868477307,1269.2535868477307,100,45636.879145376195,3500,0,36985.92101393041,20858.72214466671,0.0,0.0,9098
36,58029.30978350014,1271.3498623391636,1271.3498623391636,100,46908.22900771536,3600,0,37604.314363357145,20424.995420142994,0.0,0.0,9098
37,55320.93416790665,1273.4496000000017,1273.4496000000017,100,48181.67860771536,3700,0,35491.322965053114,19829.611202853535,0.0,0.0,9098
38,51645.41202230954,1275.5528055482996,1275.5528055482996,100,49457.23141326366,3800,0,32597.239857552035,19048.172164757503,0.0,0.0,9098
39,47798.626377979446,1277.659484711555,1277.659484711555,100,50734.890897975216,3900,0,28874.106505606127,18924.519872373316,0.0,0.0,9098
40,46787.95975803487,1279.7696432267257,1279.7696432267257,100,52014.66054120194,4000,0,28199.387941120098,18588.571816914773,0.0,0.0,9098
41,44688.934148955814,1281.8832868402442,1281.8832868402442,100,53296.54382804219,4100,0,26345.245025229917,18343.689123725897,0.0,0.0,9098
42,44254.33777617128,1284.0004213080335,1284.0004213080335,100,54580.54424935022,4200,0,26494.307317273116,17760.030458898163,0.0,0.0,9098
43,44789.8237183989,1286.1210523955235,1286.1210523955235,100,55866.66530174574,4300,0,27522.38940902793,17267.434309370965,0.0,0.0,9098
44,43188.116005076954,1288.245185877666,1288.245185877666,100,57154.91048762341,4400,0,26326.851672691453,16861.264332385508,0.0,0.0,9098
